case,clean_fit_mse,final_error_percent,model,omega,run_idx,s_r,test_rel_rmse_percent,train_rel_rmse_percent,used_fit_mse
narrow_centered,0.0018422013744890924,-20.964339618473748,C_balanced_phys010_res005,0.1,17,0.05,17.141442361733613,4.305346669719046,0.0020032928126862753
narrow_centered,0.0010791396098360068,8.347532138931921,C_balanced_phys010_res005,0.1,18,0.05,12.382585978792068,3.099353310480567,0.001329389378791241
narrow_centered,0.0015387832476953015,7.802655218165088,C_balanced_phys010_res005,0.1,19,0.05,6.843483208314474,3.824915122226887,0.0018403079370229458
narrow_centered,0.0008963853225945069,-34.02639977637712,D_strong_phys050_res002,0.5,0,0.02,25.733285635466974,3.0047532694336976,0.001161809756761465
narrow_centered,0.0008312859823113578,-33.11641394796112,D_strong_phys050_res002,0.5,1,0.02,25.14972659339782,2.7119795874159847,0.0009134779628567185
narrow_centered,0.0007952545606208696,-32.04992019400535,D_strong_phys050_res002,0.5,2,0.02,21.800176804268627,2.7990694293841765,0.0008145399970788276
narrow_centered,0.0008023627241006817,-29.17658634134379,D_strong_phys050_res002,0.5,3,0.02,20.65314071870777,2.601410007428882,0.0006406238316230648
narrow_centered,0.0008625189114586767,-47.460358509678386,D_strong_phys050_res002,0.5,4,0.02,32.60491511223394,2.9280988528169622,0.001311881757312118
narrow_centered,0.0006539600430060112,-34.32390403525941,D_strong_phys050_res002,0.5,5,0.02,26.071859040038543,2.6946030702106203,0.0010411424878413362
narrow_centered,0.0009516719984176986,-44.202301153649124,D_strong_phys050_res002,0.5,6,0.02,30.65341156661001,3.1661245228583663,0.001195680983595288
narrow_centered,0.0007303356462574473,-24.114239270766692,D_strong_phys050_res002,0.5,7,0.02,17.691650097863317,2.6241377665626042,0.0013559414139729766
narrow_centered,0.000981578296741569,-19.254282704845664,D_strong_phys050_res002,0.5,8,0.02,13.506449032459896,2.8024116494545495,0.000798695584146188
narrow_centered,0.001943482041255569,-25.22635277799042,D_strong_phys050_res002,0.5,9,0.02,20.071994291629522,4.07906820178119,0.0018363701280317006
narrow_centered,0.0010593686781096008,-25.203788692196095,D_strong_phys050_res002,0.5,10,0.02,20.34707221046874,3.0923295344413417,0.0013317060361359707
narrow_centered,0.0009171190307958269,-17.455590207438348,D_strong_phys050_res002,0.5,11,0.02,14.942379716975058,3.0934726372150188,0.00131357270229678
narrow_centered,0.0009085378890090134,-25.327462855275016,D_strong_phys050_res002,0.5,12,0.02,19.74481054804758,2.8346166968494417,0.0008520795236870773
narrow_centered,0.0012980385808783633,-45.82851662165747,D_strong_phys050_res002,0.5,13,0.02,34.09807624185023,3.5530952580849697,0.0017292051875908339
narrow_centered,0.0011804629096232057,-26.40476653903001,D_strong_phys050_res002,0.5,14,0.02,21.03724345517256,3.3418670462770916,0.00152048521258408
narrow_centered,0.0006511454923487848,-16.05974159549802,D_strong_phys050_res002,0.5,15,0.02,12.86246093501047,2.2589622217597856,0.0007102638604296693
narrow_centered,0.0011825885746221691,-24.18707610077362,D_strong_phys050_res002,0.5,16,0.02,18.193496252107963,3.060269772568182,0.0012213244859545155
narrow_centered,0.0016042217114513595,-37.43641427705364,D_strong_phys050_res002,0.5,17,0.02,26.615965140404757,3.8058669454530993,0.0016696913966743059
narrow_centered,0.001715212862916204,-42.138251892327496,D_strong_phys050_res002,0.5,18,0.02,31.55913699231987,4.169803104611945,0.001996076176607182
narrow_centered,0.0010147230614228847,-20.12527296480088,D_strong_phys050_res002,0.5,19,0.02,16.668037540278185,3.0059806938963742,0.0012812847880291072
slight_shift_full_beam,0.0007077756487110654,15.208343324675536,A_current_phys005_res010,0.05,0,0.1,21.42478114085618,2.9893856720470993,0.0007107597052735953
slight_shift_full_beam,0.0008062555650020422,17.478017933954614,A_current_phys005_res010,0.05,1,0.1,23.01772857427686,3.141712854942801,0.001065810540271854
slight_shift_full_beam,0.0007230615755046863,10.98818032752418,A_current_phys005_res010,0.05,2,0.1,19.88104032545116,2.9839559108247666,0.0011985455116666143
slight_shift_full_beam,0.0007831280227262891,21.94266896385791,A_current_phys005_res010,0.05,3,0.1,26.514286443402067,3.2252317008075204,0.0010800534606600011
slight_shift_full_beam,0.0006109143167663468,7.5865734242646035,A_current_phys005_res010,0.05,4,0.1,19.108468228584613,2.8219077828449923,0.0010530147724746208
slight_shift_full_beam,0.00083687056783727,15.158739172819129,A_current_phys005_res010,0.05,5,0.1,22.521198362771432,3.3072522579817765,0.0012048667815530401
slight_shift_full_beam,0.0007995410084326779,0.1478410924385897,A_current_phys005_res010,0.05,6,0.1,11.072707706841866,3.104416902241684,0.001091923089910917
slight_shift_full_beam,0.0006162838624761884,6.346177666984195,A_current_phys005_res010,0.05,7,0.1,18.69851742624538,2.7421816384150413,0.0002943656387275616
slight_shift_full_beam,0.0007830535711521229,9.700910252524254,A_current_phys005_res010,0.05,8,0.1,16.656220979793183,3.040466863363223,0.0008048585881936605
slight_shift_full_beam,0.0014934315012852038,5.326124778485598,A_current_phys005_res010,0.05,9,0.1,15.499297149288733,4.310881017173578,0.0015338934237403954
slight_shift_full_beam,0.0006554744398586147,15.073508495769797,A_current_phys005_res010,0.05,10,0.1,22.46663402540613,2.9560021569661914,0.0005965002298190222
slight_shift_full_beam,0.0005681597803203397,13.43819916636007,A_current_phys005_res010,0.05,11,0.1,21.193801709319338,2.7168748880938587,0.0007457543149532415
slight_shift_full_beam,0.0007579121903975888,23.434647403037463,A_current_phys005_res010,0.05,12,0.1,28.68083003836823,2.737252672303978,0.0008085712438007358
slight_shift_full_beam,0.0011749719327353453,-10.678272349243803,A_current_phys005_res010,0.05,13,0.1,10.560043602410525,3.7204027522685355,0.0012687815131639368
