case,clean_fit_mse,final_error_percent,model,n_points,run_idx,test_rel_rmse_percent,train_rel_rmse_percent,used_fit_mse
strong_shift_full_beam,0.0005635008986209744,20.065541855539145,PI-NODE-2state,8,16,26.45533504239106,3.273955160351301,0.0005791406683242934
strong_shift_full_beam,0.0007222671056564545,6.573088307376482,PI-NODE-2state,8,17,18.313087050445397,3.3924602359574405,0.0009154380648957029
strong_shift_full_beam,0.00034614145293606426,-0.6005661424762274,PI-NODE-2state,8,18,15.116132201318958,2.8325577153007986,0.00032204613911362615
strong_shift_full_beam,0.0004553649402240415,16.559299461188502,PI-NODE-2state,8,19,23.506793018466063,3.316448267306147,0.0012124160278762395
full_cover,0.0003477607018868875,40.627387887231905,PI-NODE-2state,10,0,42.2892155017913,2.7113785143192177,0.00034882189221177834
full_cover,0.0007774356330457958,27.304892525762682,PI-NODE-2state,10,1,33.12213164597043,3.9098306491594834,0.0006089856989759872
full_cover,0.000975261710071996,35.36961023954332,PI-NODE-2state,10,2,37.92414878524523,4.519963679523066,0.0007368595793973848
full_cover,0.001651878793112713,26.3250356940349,PI-NODE-2state,10,3,31.69880447339553,5.607397825031063,0.0016489278042315122
full_cover,0.002664474054938919,50.64672286721777,PI-NODE-2state,10,4,48.37978375831145,5.864047641183584,0.0017706616785986636
full_cover,0.0023523207140063174,44.589207973089074,PI-NODE-2state,10,5,43.185148415439734,6.6722321504915225,0.0025313796158704166
full_cover,0.0008810747984357121,24.049825256643352,PI-NODE-2state,10,6,31.435072679858862,3.6386521380103045,0.0007727402032226446
full_cover,8.854290315992789e-05,45.98308916780207,PI-NODE-2state,10,7,46.39546471730199,1.9243481779469385,0.00018300234186023807
full_cover,0.00027318667092324017,36.61675490563282,PI-NODE-2state,10,8,40.249492432208214,2.182245917576649,0.00018939818728244925
full_cover,0.0012534433706724289,31.724329372514244,PI-NODE-2state,10,9,36.10156603573561,4.845268600689569,0.0011153208823753166
full_cover,0.0003972266721546178,12.307229589524631,PI-NODE-2state,10,10,24.806724735990493,3.3661362342186982,9.325054318719255e-05
